Screen_Time_Hours,Social_Media_Hours,Gaming_Hours,Sleep_Hours,Study_Work_Hours,Notifications_Per_Day,Phone_Pickups,WellBeing_Status
7.6,2.4,1.1,7.0,6.8,143.0,67.0,Moderate
9.8,5.0,2.4,6.3,3.7,131.0,163.0,HighRisk
5.5,0.9,2.0,7.8,2.5,22.0,94.0,Moderate
6.3,4.0,3.2,8.3,6.8,144.0,102.0,Moderate
7.8,2.6,,5.5,3.3,188.0,141.0,HighRisk
2.7,,2.2,6.7,4.4,35.0,165.0,Moderate
9.1,6.6,2.5,7.3,1.9,34.0,113.0,HighRisk
8.9,2.1,2.4,8.9,5.2,76.0,59.0,Moderate
5.8,5.7,1.4,6.5,1.1,197.0,96.0,HighRisk
7.5,6.2,2.6,7.5,5.7,23.0,16.0,HighRisk
3.4,2.5,4.5,5.3,5.0,58.0,155.0,HighRisk
6.2,1.5,4.6,9.0,4.8,153.0,114.0,Moderate
6.1,2.3,3.8,5.0,5.1,183.0,167.0,HighRisk
3.7,2.9,4.3,7.7,4.1,87.0,54.0,Moderate
6.4,4.1,0.0,7.4,1.5,184.0,129.0,HighRisk
9.0,2.4,3.8,6.2,8.0,97.0,18.0,HighRisk
6.4,2.1,4.4,6.6,2.5,173.0,133.0,HighRisk
8.8,3.0,1.6,,2.4,83.0,,HighRisk
6.4,4.3,2.6,4.5,8.9,66.0,55.0,HighRisk
3.7,2.4,2.6,8.6,8.9,159.0,164.0,Moderate
6.1,2.8,3.2,8.4,2.3,45.0,37.0,HighRisk
4.8,5.9,0.3,4.5,8.1,76.0,97.0,HighRisk
2.7,2.4,4.6,7.1,4.7,89.0,134.0,Moderate
7.9,0.8,3.5,8.3,,43.0,,HighRisk
4.5,,0.6,7.5,8.1,,35.0,Moderate
5.5,5.5,2.8,4.9,5.7,186.0,143.0,HighRisk
3.4,0.9,0.8,6.0,4.5,184.0,54.0,Moderate
3.6,4.5,4.6,,4.9,34.0,33.0,HighRisk
6.5,1.3,1.0,8.2,,147.0,94.0,Moderate
5.7,4.2,2.1,5.8,3.1,126.0,113.0,HighRisk
2.2,4.6,0.2,7.9,4.8,42.0,,Moderate
2.7,0.9,,7.9,5.1,107.0,93.0,Healthy
7.6,4.8,0.2,8.1,5.1,97.0,35.0,Moderate
8.3,3.2,2.4,5.3,3.6,178.0,22.0,HighRisk
5.3,6.9,1.2,8.6,8.3,,138.0,Moderate
5.7,3.8,1.6,4.7,2.9,125.0,91.0,HighRisk
3.9,5.8,4.5,4.7,3.4,98.0,61.0,HighRisk
7.0,0.5,2.4,,4.0,72.0,93.0,Moderate
5.7,6.8,1.7,,7.4,180.0,131.0,HighRisk
7.7,3.2,1.0,8.9,6.2,98.0,,Moderate
9.3,0.8,1.9,7.0,2.1,47.0,75.0,HighRisk
2.8,2.0,1.5,7.4,3.2,140.0,158.0,Moderate
2.0,2.9,2.7,5.2,5.8,85.0,31.0,Moderate
7.1,0.7,4.4,4.6,2.0,130.0,49.0,HighRisk
8.3,2.2,3.8,8.2,3.8,,52.0,HighRisk
7.4,5.0,2.3,,9.0,165.0,157.0,HighRisk
2.5,,4.2,5.7,5.3,28.0,156.0,Moderate
2.7,2.0,4.4,6.1,5.3,91.0,91.0,Moderate
3.8,4.2,3.3,5.8,4.3,59.0,136.0,HighRisk
5.9,0.5,4.4,6.0,,75.0,74.0,Moderate
9.1,5.2,0.5,7.7,8.0,73.0,125.0,HighRisk
5.8,,2.6,,5.6,,30.0,Moderate
4.8,3.0,3.8,6.2,2.9,173.0,136.0,HighRisk
9.3,2.8,3.2,5.7,2.6,164.0,81.0,HighRisk
9.1,5.8,3.5,8.8,4.4,69.0,43.0,HighRisk
2.9,2.5,0.7,4.9,5.8,176.0,153.0,Moderate
7.4,5.2,2.8,6.8,1.7,162.0,158.0,HighRisk
7.0,4.3,,4.9,8.8,52.0,104.0,HighRisk
8.0,5.6,1.0,8.2,4.7,161.0,110.0,HighRisk
3.1,1.7,2.8,7.0,4.5,,76.0,Moderate
6.1,3.2,0.1,4.7,,195.0,32.0,HighRisk
,2.3,1.8,5.4,4.4,193.0,16.0,HighRisk
8.8,3.5,1.4,8.7,3.5,123.0,,HighRisk
2.3,5.1,2.4,6.5,1.3,183.0,168.0,HighRisk
